x,y,z,Bx,By,Bz,Bp,faceid
-29.694, -4.948999999999973, 32.9,-57.88667067,26.92267854,-20.27055201,63.84118781,1
-29.694, -4.2419999999999725, 32.9,-53.64102012,31.58220801,-23.88242146,62.24785058,1
-29.694, -3.5349999999999717, 32.9,-48.87671403,36.35774764,-26.23237899,60.91649192,1
-29.694, -2.827999999999971, 32.9,-43.71445982,41.08617142,-27.0789554,59.99189511,1
-29.694, -2.1209999999999702, 32.9,-38.3593538,45.50090004,-26.28769266,59.51278794,1
-29.694, -1.4139999999999695, 32.9,-33.10422976,49.29763627,-23.85182512,59.38136888,1
-29.694, -0.7069999999999688, 32.9,-28.30533506,52.10341149,-20.00732724,59.29550979,1
-29.694, 3.197442310920451e-14, 32.9,-24.29884254,53.6794686,-15.3463679,58.92299295,1
-29.694, 0.7070000000000327, 32.9,-21.30756001,54.11174615,-10.60827704,58.15576657,1
-29.694, 1.4140000000000335, 32.9,-19.37785137,53.76415268,-6.418642904,57.14967399,1
-29.694, 2.121000000000034, 32.9,-18.39957342,53.16592888,-3.069657068,56.25975734,1
-29.694, 2.828000000000035, 32.9,-18.19053645,52.71996682,-0.448102928,55.76997865,1
-29.694, 3.5350000000000357, 32.9,-18.55941077,52.53582793,1.688947432,55.71772559,1
-29.694, 4.242000000000036, 32.9,-19.34075539,52.58546482,3.532494574,56.02942021,1
-29.694, 4.949000000000037, 32.9,-20.39154643,52.74040023,5.233654804,56.54524721,1
-29.694, 5.656000000000038, 32.9,-21.56756315,52.8197223,6.819901927,57.05333333,1
-29.694, 6.363000000000039, 32.9,-22.73654653,52.71077183,8.235024294,57.40536573,1
-29.694, 7.070000000000039, 32.9,-23.74711088,52.31236794,9.408078313,57.45005757,1
-29.694, 7.77700000000004, 32.9,-24.45749892,51.64798691,10.20139856,57.14616178,1
-29.694, 8.48400000000004, 32.9,-24.85846626,50.88268733,10.54122063,56.63030297,1
-29.694, 9.191000000000042, 32.9,-24.91750534,50.18998107,10.53665204,56.03495581,1
-29.694, 9.898000000000042, 32.9,-24.80281102,50.04351502,10.46502394,55.85277818,1
-29.694, 10.605000000000043, 32.9,-25.23520859,50.47572597,10.85837024,56.43239021,1
-29.694, 11.312000000000044, 32.9,-25.84803801,51.03342545,12.48555845,57.20604498,1
-28.987, -13.432999999999982, 32.9,-71.5446905,-10.94605869,63.06256389,72.37719903,1
-28.987, -12.725999999999981, 32.9,-70.5197915,-7.871307645,50.33913253,70.95772317,1
-28.987, -12.01899999999998, 32.9,-71.104237,-5.552178088,39.57748487,71.32067863,1
-28.987, -11.31199999999998, 32.9,-71.27200884,-3.516743743,29.89572466,71.35871868,1
-28.987, -10.604999999999979, 32.9,-71.08525972,-1.007180038,20.92568702,71.09239453,1
-28.987, -9.897999999999978, 32.9,-70.60066048,1.845702736,12.49627997,70.62478232,1
-28.987, -9.190999999999978, 32.9,-69.62282581,5.058934852,4.585426454,69.80638005,1
-28.987, -8.483999999999977, 32.9,-68.10695195,8.649005219,-2.793799308,68.65393066,1
-28.987, -7.776999999999976, 32.9,-66.01348672,12.59150744,-9.619798368,67.20361961,1
-28.987, -7.069999999999975, 32.9,-63.2900019,16.87332476,-15.78634394,65.50063686,1
-28.987, -6.362999999999975, 32.9,-59.92108126,21.44240525,-21.18161801,63.64206724,1
-28.987, -5.655999999999974, 32.9,-55.91814695,26.27978999,-25.66341046,61.78564979,1
-28.987, -4.948999999999973, 32.9,-51.33130267,31.33241872,-29.00194758,60.13836626,1
-28.987, -4.2419999999999725, 32.9,-46.26742699,36.48571721,-30.97717701,58.92268121,1
